generation, id, fitness, candidate
0, 0, 0.845337616901, 0.38234870927509756 0.12436236310495374 -114.64457754092527
0, 1, 0.871977348683, 0.9617873543632193 -0.37270069038576104 -24.095329992310354
0, 2, 0.919079902624, 0.9083801934635486 0.03622662636435514 -31.866555816803526
0, 3, 0.923431720369, 0.19736320977004818 0.01864880350440501 -61.38256296270214
0, 4, 0.997198828385, 0.34572517811474457 3.2403585090459597 -169.61515754162807
0, 5, 1.01859492542, 0.9076882654595774 -0.8526778954571448 -99.16945028467568
0, 6, 1.12204864034, 0.11609726788620989 1.7724639038616985 -19.191312909075208
0, 7, 1.20913733352, 0.04886994502609443 6.153964968642555 -39.24708777488527
0, 8, 1.24346391065, 0.8631193790184034 1.9752167178351563 -154.10563090532673
0, 9, 1.25393438277, 0.6026836993279537 1.3240754341141105 -46.99800226112467
0, 10, 1.38647421031, 0.10592577092151378 3.1961798957342236 -26.965956454900834
0, 11, 1.50683536926, 0.5864894626800782 3.6163066992626334 -197.90722276576875
0, 12, 1.51737111815, 0.8680219214085314 1.495045829744143 -13.625310463713362
0, 13, 1.63586292419, 0.41467748513429703 2.177306342466693 -20.160942545234462
0, 14, 1.66356201038, 0.7684260302798009 -1.945445466934256 -23.114026733428148
0, 15, 1.75893152674, 0.1256441294788505 9.321626513014355 -157.12375961319208
0, 16, 1.77308725523, 0.17878132424537074 8.095342015157772 -176.7563650058823
0, 17, 1.78065078649, 0.8574327160369546 2.9624326434878476 -104.01672470155314
0, 18, 1.83550716702, 0.760660576055308 2.7994084807973962 -60.04869016317991
0, 19, 1.85511460115, 0.737032618813814 2.5591937614501816 -20.366886386955684
0, 20, 1.88964301029, 0.5133621811159089 3.9955369542443986 -116.77375216630257
0, 21, 1.98956145643, 0.13723662052781183 4.153585135318508 -13.589623503401612
0, 22, 2.04180957377, 0.08250005474906896 1.092306555255389 -84.95297688341097
0, 23, 2.19346464281, 0.035594938001690335 23.598550174140613 -145.96365713912235
0, 24, 2.21212562182, 0.29055807505704956 4.196901362948999 -21.50588897786932
0, 25, 2.27536094684, 0.9983025111301544 4.3743968020067605 -104.8942572073907
0, 26, 2.41046862144, 0.31992031737116056 7.2062079789095 -135.92960169997824
0, 27, 2.41249803725, 0.5003414723235287 4.202769360892592 -1.7178375698352681
0, 28, 2.41954023879, 0.093085932901256 13.57930420691078 -130.92054235455618
0, 29, 2.45642695007, 0.11303008641862666 10.160331093773497 -85.5198108903107
0, 30, 2.46951499498, 0.8329432054939707 5.006493085377839 -78.72958028192498
0, 31, 2.50154784006, 0.13498219604740958 -0.16230810906917803 -100.2532569459756
0, 32, 2.69670040913, 0.596858637157437 6.896999969398951 -143.88696171317153
0, 33, 2.73167446775, 0.03968002848971297 11.335589037765637 -0.6644880221928986
0, 34, 2.77744632818, 0.10719188252762135 15.90222875589873 -164.55489650908683
0, 35, 2.78594353649, 0.14032681989091156 11.624920428475566 -110.6770764745159
0, 36, 2.81760786414, 0.1395191776371163 9.387624834984333 -51.240531298647
0, 37, 2.84056212732, 0.14174072688095674 -3.639941787794596 -3.132507166608832
0, 38, 2.90225352318, 0.95781960259356 7.036294777939418 -125.07498255070585
0, 39, 2.90866490173, 0.7253983844786477 6.261562319054974 -13.711658443572077
0, 40, 2.92047098733, 0.6551689209721981 6.262662471201821 -13.84127650865753
0, 41, 2.9238207485, 0.09193456269281963 14.10075494261632 -83.68693811089179
0, 42, 2.97613507898, 0.06733429874044372 15.964028508384747 -67.88565935953758
0, 43, 3.03034113005, 0.10105730887632536 11.696980092557414 -44.76880585475436
0, 44, 3.06971000345, 0.05563494009411296 22.194708757601248 -104.67347405648792
0, 45, 3.07803518973, 0.42886877940854395 9.756341222223078 -156.1257407646734
0, 46, 3.18152050603, 0.4800310095920042 9.937877956407007 -151.47355891688682
0, 47, 3.22761022981, 0.6722953674458693 9.623714072398677 -174.03680675400847
0, 48, 3.28910586941, 0.43299145208147805 11.190856243758248 -168.83683113975724
0, 49, 3.2929595587, 0.8073315859461272 9.044657274249062 -105.67049973924651
0, 50, 3.30283275197, 0.3276012864786969 11.664636228828247 -144.72583159802156
0, 51, 3.32669229357, 0.27227513586507 13.09568293426151 -170.23384873839916
0, 52, 3.43710378459, 0.06460444642832086 29.062081192698543 -184.04413289570934
0, 53, 3.45918495647, 0.3665833517198849 11.633229874575306 -117.22667686538648
0, 54, 3.52008460554, 0.608436919464409 11.872552166690081 -187.9372373794351
0, 55, 3.52155411886, 0.11959133612919348 14.317656259048274 -48.927660139848626
0, 56, 3.54937952246, 0.18924024661861027 13.8378499591118 -80.51096824792378
0, 57, 3.59389212504, 0.7014934598382377 10.66668491760948 -64.42824203678782
0, 58, 3.6928334739, 0.699054753474356 11.118809592653495 -49.5289436535665
0, 59, 3.70111322384, 0.9369506333698672 11.579668371893508 -111.46180365760026
0, 60, 3.71427728366, 0.4077948159011924 11.251683569886993 -12.734693964969523
0, 61, 3.71497057195, 0.5138507983697134 11.165081727998224 -19.018861875869163
0, 62, 3.7211363772, 0.2796421858980086 16.21614975644812 -172.84194740504157
0, 63, 3.72884054248, 0.4437094470762668 12.97718027479615 -100.86189757732207
0, 64, 3.77667895744, 0.2923712361504286 13.898985133040448 -75.05489289911442
0, 65, 3.7828310666, 0.6665520612940486 13.411082759877289 -157.66259586578542
0, 66, 3.81344465084, 0.3563533773389975 14.182905901771484 -100.23024367996139
0, 67, 3.81384100756, 0.756404623713492 13.502888198260639 -184.46142771185592
0, 68, 3.85050555242, 0.6364358729562042 12.360720148303514 -30.90720619570638
0, 69, 3.8694905734, 0.2126171053859678 18.96367700548549 -173.4473321975891
0, 70, 3.87107242672, 0.650600847277887 -3.2724985986516186 -24.591712762288296
0, 71, 3.9391613954, 0.8076868646774271 14.102980361629697 -143.17186444943553
0, 72, 4.03994829276, 0.3830603427933461 16.12212606878238 -115.01914297326049
0, 73, 4.04175082379, 0.7789021512346256 13.980782265756865 -34.266704748873934
0, 74, 4.04273920447, 0.573292458783699 15.454644609238887 -117.83003010963688
0, 75, 4.06625961615, 0.4220831752605344 18.064516211918196 -197.91625311843427
0, 76, 4.07374751197, 0.37367035996981757 17.89438707092718 -167.83963610507465
0, 77, 4.08076821495, 0.7072987530568643 14.030722866251239 -10.555461673183913
0, 78, 4.1239092265, 0.25476791679695987 15.813876292787413 -22.508666723731096
0, 79, 4.12504315875, 0.6651939789252908 15.326258993809603 -91.2123073559048
0, 80, 4.1332805167, 0.5161231958662843 16.348880827767612 -102.66786401933933
0, 81, 4.15292624252, 0.7340662778249671 15.762537801565593 -114.88391331675636
0, 82, 4.15402998086, 0.3867962878427095 18.71215195938752 -164.86650429202268
0, 83, 4.19735598548, 0.2937753509512019 19.040100676904217 -125.55573353342497
0, 84, 4.2056105242, 0.1917090562633923 16.567800115158022 -7.854231434114922
0, 85, 4.21776285396, 0.24831420304168472 22.430471109436468 -193.84259756650115
0, 86, 4.25934958887, 0.3060911360559321 16.958343037977862 -34.7698733118967
0, 87, 4.28862800832, 0.38119765328279 17.69908626028913 -58.82092266146054
0, 88, 4.29705359483, 0.3252083713698741 18.781340396479944 -87.29882568155904
0, 89, 4.29926259523, 0.5090237179295014 16.41267134243261 -9.484153385658999
0, 90, 4.35665991193, 0.9991015480293203 -2.709583702556131 -181.73193547499716
0, 91, 4.35670742781, 0.46356983056175616 17.811852538917567 -39.66499462761021
0, 92, 4.36646964054, 0.8046699070347819 -2.6589047718899694 -162.6193614500202
0, 93, 4.37462527322, 0.4332338441382898 19.17046602999894 -96.60396303378951
0, 94, 4.39333447297, 0.3283118114177418 19.863558963296086 -83.48722827317307
0, 95, 4.40557526711, 0.6128714404125377 18.185334583068716 -66.06097224308078
0, 96, 4.4509380694, 0.2994320358696655 24.055185627998313 -180.4535566706738
0, 97, 4.47130743966, 0.15660543982705732 22.911343385707703 -55.09246586431274
0, 98, 4.56265657487, 0.3613166539758049 22.030588800830728 -80.25639939079971
0, 99, 4.63673904328, 0.2772199490144346 27.160452323551667 -184.23570176904212
0, 100, 4.64498530237, 0.38926250688154784 23.57536823144143 -102.69306804230854
0, 101, 4.64863874603, 0.23480932725032655 23.018227343217504 -33.12866800801942
0, 102, 4.68211240061, 0.34096499911984957 26.28308395839489 -166.25466656583902
0, 103, 4.68816744641, 0.18095963458763198 23.44160936240752 -16.608246033384432
0, 104, 4.75172809236, 0.2714013598479271 27.512238637036454 -118.01066189183578
0, 105, 4.82498857458, 0.3254012398501147 24.357928162238032 -25.295224460201098
0, 106, 4.86652600081, 0.32188684170345827 25.7273740304757 -28.664914744721983
0, 107, 5.37783027565, 0.06272321279797466 -2.7667012274403335 -63.595769052155504
0, 108, inf, 0.4463747494738972 27.651398528419115 -12.713979845941623
0, 109, inf, 0.31713266720806543 -7.217021953984988 -48.214465903915595
0, 110, inf, 0.01902536575728031 10.262753690247944 -185.67153987977366
0, 111, inf, 0.9397936325163839 -5.94324835985788 -194.34253761825892
0, 112, inf, 0.2270697188209635 -3.1850996509028873 -189.50255263506182
0, 113, inf, 0.6692175379721723 18.722839118180108 -152.80209539570075
0, 114, inf, 0.6662798640110432 29.872160550272937 -23.86627382165392
0, 115, inf, 0.9057080545593603 -7.520708041686874 -74.6712249405753
0, 116, inf, 0.06793994488850785 -4.905203417878137 -134.4552240953309
0, 117, inf, 0.5898263791205909 29.402960383309065 -193.84374340188307
0, 118, inf, 0.7173187553541696 21.052475710167855 -180.10796568116947
0, 119, inf, 0.4531102924114485 29.856730708739512 -75.72883012773408
0, 120, inf, 0.0814702101761472 -6.7436939499947535 -25.79758078886192
0, 121, inf, 0.8334346106217149 24.882591691826555 -119.42251076720855
0, 122, inf, 0.4472488122440744 25.241548993789948 -28.021058130178233
0, 123, inf, 0.6090179428381478 22.390882160435112 -14.377152517278574
0, 124, inf, 0.5257292065199134 -9.77247891948267 -105.31801502005702
0, 125, inf, 0.09851962556801352 4.632704729347319 -184.77838595617087
0, 126, inf, 0.6550854773443349 -4.276331482212443 -38.308613815288766
0, 127, inf, 0.6364431347710118 26.054665764886863 -76.69665492160276
0, 128, inf, 0.7144502616204191 19.58214870119681 -52.33753757890179
0, 129, inf, 0.9824718857161109 27.844411375266837 -198.8973308597784
0, 130, inf, 0.7529013421292954 24.2939937646166 -40.34128335400351
0, 131, inf, 0.9725466505012608 27.565090857835912 -50.615165904794
0, 132, inf, 0.4012812380149413 28.070324977691612 -49.04538447506229
0, 133, inf, 0.6405909855278893 23.367303360185694 -157.0657967788468
0, 134, inf, 0.8369438756208856 24.291619660283345 -120.67507647779685
0, 135, inf, 0.7109087043118935 28.088611104376568 -87.88893545749556
0, 136, inf, 0.2502222551143791 -7.812946289102807 -0.7154752404437943
0, 137, inf, 0.6859908030430524 -7.270440651979961 -194.11968520713694
0, 138, inf, 0.6234608263789778 23.556632777618375 -151.7517274161135
0, 139, inf, 0.0027349994130626554 1.6215973335825176 -137.8647873598195
0, 140, inf, 0.3792918338886857 27.278298736129997 -107.53344002287035
0, 141, inf, 0.5972667897053221 25.975682658468152 -143.05447781004938
0, 142, inf, 0.10125092882075304 2.858733973022737 -128.5457192353368
0, 143, inf, 0.15463637882052528 3.554225666703715 -173.81164726570435
0, 144, inf, 0.8462279572748983 29.369376028621446 -5.844020348076384
0, 145, inf, 0.9303604051909458 28.721560597030667 -161.80250479554013
0, 146, inf, 0.8042577696303167 24.761214520621188 -20.224708610914774
0, 147, inf, 0.7117641111450896 25.21995772446391 -199.71833913475893
0, 148, inf, 0.12375959684147353 -5.195515703483307 -117.9014585702751
0, 149, inf, 0.7359032684391565 -6.528908613604041 -137.3695581121989
0, 150, inf, 0.01121453757793256 -2.177406851136632 -73.48353046326011
0, 151, inf, 0.9903173838004438 25.709433765258474 -50.18663880111808
0, 152, inf, 0.9239363556058875 17.47464240369983 -137.63906033480845
0, 153, inf, 0.47614106559290303 24.428726200026823 -70.11057300517422
0, 154, inf, 0.4450152397291752 25.753897203098155 -83.35100256287926
0, 155, inf, 0.8997246506920065 -9.154764618021085 -87.8424500309215
0, 156, inf, 0.7222807681844081 16.58552253879317 -30.739855838018514
0, 157, inf, 0.6358688576345004 28.93605197050499 -164.4835626583038
0, 158, inf, 0.5050440958854765 -4.414655550513049 -21.265198105656452
0, 159, inf, 0.2977439736780536 -0.7216113404355795 -187.22624348134298
0, 160, inf, 0.42491683319324325 -3.7414409926574788 -87.44118366295102
0, 161, inf, 0.03767760398518882 5.661949156477636 -175.56371865969
0, 162, inf, 0.0006914585045744159 10.072758561210428 -78.1447060491145
0, 163, inf, 0.9023895982660811 17.86969716200022 -156.14581111488172
0, 164, inf, 0.021927997690386447 28.77845851514445 -151.498871986115
0, 165, inf, 0.017153667701614084 18.678058146430608 -100.6676854048189
0, 166, inf, 0.9743424267773394 15.810906197883476 -3.0951321212085077
0, 167, inf, 0.5939197104359949 -5.27486324786377 -191.12983572567063
0, 168, inf, 0.9613153934942578 24.820591569311354 -150.8707752915367
0, 169, inf, 0.04991313943693876 -3.519158103106137 -97.46213041153227
0, 170, inf, 0.45232286152442114 -8.489622734659847 -158.6845608200432
0, 171, inf, 0.9009594527116562 24.757976174999037 -94.1913635989563
0, 172, inf, 0.9500797782631965 17.555739080490174 -36.35786581342782
0, 173, inf, 0.7130985706263323 21.80927381360125 -36.82012201162334
0, 174, inf, 0.7572066561641535 24.533076488843044 -140.88690630425856
0, 175, inf, 0.05553865445332906 21.971873759399063 -185.11772664281875
0, 176, inf, 0.4068913496547937 -9.04418927467487 -70.61309376952843
0, 177, inf, 0.8309454332358307 -8.40520643986606 -149.2850192782306
0, 178, inf, 0.6151676102919851 -4.186211352638507 -42.36136308505266
0, 179, inf, 0.9414602026925656 -5.4287635151926805 -18.196038667439666
0, 180, inf, 0.8567080638556991 22.702982341337446 -134.98120811384243
0, 181, inf, 0.7772372101156643 -5.544251613691515 -132.45908061227175
