generation, id, fitness, candidate
0, 0, 0.626502878967, 0.005667522457794885 39.382154257265526 -6.766125746317407 1.0623221248202486 1.5200659945875794 -300.19297159953214
0, 1, 0.632897853918, 0.008406322327848277 21.392740857127016 1.9061180519796999 1.2509268894153087 1.7895987268396663 -454.5510523886806
0, 2, 0.650362844137, 0.00690715362860902 33.65071614394813 0.9952685786700162 1.5067908106608414 0.47282383116115656 -349.2760663819019
0, 3, 0.66045621434, 0.007601772474574271 26.15054369912855 -0.9749340954157901 1.8302157033185664 1.0831766824540723 -446.28094731027664
0, 4, 0.749611721408, 0.005690286841036966 31.938088965300295 -4.898452517597542 1.3830101197656688 1.4178980618470483 -313.25148223052093
0, 5, 0.772581231164, 0.006657920101636642 29.365091076785536 6.946501646736031 1.6453993217500786 1.3008070552370754 -485.9757794302154
0, 6, 0.859379518658, 0.007382448367636751 20.342269640343705 6.221003031892533 1.4634813050451003 0.6787679732659169 -495.3321883562854
0, 7, 0.899077100682, 0.009606670878196511 22.48145376339311 -5.330280737304682 1.8493541022398898 2.8206618931735483 -735.4578648936176
0, 8, 0.917328055588, 0.007425576102562463 27.277642547680536 -1.7459470973078535 1.3072329368107014 2.2069534047446715 -392.28730269989023
0, 9, 0.927079543142, 0.005205986443727973 25.173244331491055 -0.5622144098891049 1.8917170397948275 1.6224551256886055 -659.9668142015848
0, 10, 0.932615466466, 0.005230812244544293 30.04134039716355 -1.4774801476805308 1.267210199163712 3.6680219080798313 -607.0268229477615
0, 11, 0.950458913149, 0.008639612261354407 39.932587321875445 -5.639982522361291 1.6683046037623799 0.2061296764110354 -660.1644898366785
0, 12, 0.979832183075, 0.002878248352905947 39.51668273203225 -8.240217821579021 0.3305044823980505 4.132905573972074 -205.06138138832512
0, 13, 0.989267141563, 0.0042092480261529805 24.231014635228618 6.853217867727153 1.2554206667874306 3.4280507467976786 -584.1374026335325
0, 14, 1.03518636177, 0.004047010090216762 25.049956286674146 8.980920718740041 0.5282729514559644 1.4969856932981396 -246.19859825162496
0, 15, 1.07838150324, 0.007525232816458453 30.91093064808902 5.7928388079193045 1.7529062147302716 1.6179731262170027 -517.6500923710807
0, 16, 1.07883761985, 0.008386889675013713 38.52425053062395 5.995297051178724 1.6354733606537062 0.26315328398622273 -620.7199709100848
0, 17, 1.10980536924, 0.009350773432541667 29.76797756023273 -2.0517833723831487 1.0014845021921348 0.8644611190834106 -148.47514774398087
0, 18, 1.12661079075, 0.006085873090693598 27.524392084300622 5.888828272128297 1.3755008770831412 2.2546179771673813 -366.0402629116987
0, 19, 1.12683884911, 0.002891932750760928 36.66555007283267 9.556344702982106 1.2027284351525735 0.16140387269394707 -213.27884088908434
0, 20, 1.14757645742, 0.0032150054380282876 28.12703082557326 2.7744574531507773 1.8638533290109986 2.076068109032242 -781.1011204430762
