t,v
0.0,-65.0
0.19155918506675434,-64.998638436228731
0.38311837013350869,-64.997276825701576
0.78428198369645008,-64.994424765557042
1.1854455972593914,-64.991571825128631
1.5866092108223326,-64.988717627759826
1.9877728243852739,-64.985861928461176
2.3889364379482152,-64.98300453228579
3.2733168055696256,-64.976698540704717
4.1576971731910355,-64.970382320820548
5.0420775408124463,-64.964055281110078
5.9264579084338571,-64.957716977658748
6.8108382760552679,-64.951367086309773
8.180190636460603,-64.941511980858948
9.549542996865938,-64.9316284486749
9.999999999999778,-64.928370886975046
10.00000000000011,-64.928370886975046
10.009066364203003,-64.899446168181584
10.018132728405895,-64.870521461242745
10.038127758536962,-64.806730694532718
10.05812278866803,-64.742939926280656
10.078117818799097,-64.679149122865439
10.098112848930164,-64.615358249159314
10.134577538534309,-64.499023287155225
10.207750106844214,-64.265575266762013
10.28092267515412,-64.032123120678719
10.354095243464025,-63.798665192924268
10.42726781177393,-63.565199931313998
10.500440380083836,-63.331725721668093
10.573612948393741,-63.098240766842224
10.646785516703646,-62.864743376511974
10.719958085013552,-62.63123187942432
10.843545831598476,-62.236796271301671
10.9671335781834,-61.842307149015355
11.090721324768325,-61.447755096095285
11.214309071353249,-61.053130552725698
11.337896817938173,-60.658422179600301
11.461484564523097,-60.263618527461787
11.585072311108021,-59.868707725929099
11.708660057692946,-59.473675417302388
11.83224780427787,-59.078507039446379
11.955835550862794,-58.68318668255025
12.079423297447718,-58.287695790084086
12.203011044032642,-57.892015297831428
12.326598790617567,-57.496123589345601
12.450186537202491,-57.099996436702959
12.573774283787415,-56.703608739406945
12.697362030372339,-56.306931132467923
12.820949776957264,-55.909931902708578
12.944537523542188,-55.512577988969497
13.068125270127112,-55.114829655369739
13.191713016712036,-54.716645456618068
13.31530076329696,-54.317980160483764
13.438888509881885,-53.918783430371775
13.562476256466809,-53.519000197119063
13.686064003051733,-53.11857050837606
13.809651749636657,-52.717426601170231
13.933239496221582,-52.315498105742925
14.056827242806506,-51.91270510182806
14.18041498939143,-51.508960336089515
14.304002735976354,-51.104172796722203
14.379487969479026,-50.856378763729666
14.454973202981698,-50.608131089476615
14.53045843648437,-50.359403818377906
14.605943669987042,-50.110169467587056
14.681428903489714,-49.860398267395148
14.756914136992386,-49.610059058548707
14.832399370495057,-49.359119670602524
14.907884603997729,-49.107546704913673
14.983369837500401,-48.855303593570184
15.058855071003073,-48.602351384092785
15.134340304505745,-48.34865042161843
15.209825538008417,-48.09415974441643
15.285310771511089,-47.838836077157453
15.360796005013761,-47.582631307847151
15.436281238516433,-47.32549665195274
15.511766472019104,-47.067381952396552
15.587251705521776,-46.808235147832164
15.662736939024448,-46.547998015411174
15.73822217252712,-46.286610813306304
15.813707406029792,-46.024012351487023
15.889192639532464,-45.760138437431998
15.964677873035136,-45.49492088940454
16.040163106537808,-45.228287526568003
16.11564834004048,-44.960163058648767
16.191133573543151,-44.690470519849306
16.266618807045823,-44.419127341988307
16.342104040548495,-44.146045644052094
16.417589274051167,-43.871135642247296
16.493074507553839,-43.594304682122583
16.568559741056511,-43.315453760919489
16.644044974559183,-43.03447733197747
16.719530208061855,-42.751267520979425
16.795015441564527,-42.465713061437746
16.870500675067198,-42.177695017751816
16.94598590856987,-41.887087581637573
17.021471142072542,-41.593761893075083
17.096956375575214,-41.297584923371041
17.172441609077886,-40.998413637343269
17.247926842580558,-40.696098971740042
17.32341207608323,-40.390487774802757
17.398897309585902,-40.08141982077624
17.474382543088574,-39.768726501256666
17.549867776591245,-39.452231271015144
17.625353010093917,-39.131752575054314
17.700838243596589,-38.807099096685597
